013:[CLASS] class
013:[TYPE] A2I
013:[LBRACE] {
015:[ID] c2i
015:[LPAREN] (
015:[ID] char
015:[COLON] :
015:[TYPE] String
015:[RPAREN] )
015:[COLON] :
015:[TYPE] Int
015:[LBRACE] {
016:[IF] if
016:[ID] char
016:[EQUAL] =
016:[STRING] "0"
016:[THEN] then
016:[INTEGER] 0
016:[ELSE] else
017:[IF] if
017:[ID] char
017:[EQUAL] =
017:[STRING] "1"
017:[THEN] then
017:[INTEGER] 1
017:[ELSE] else
018:[IF] if
018:[ID] char
018:[EQUAL] =
018:[STRING] "2"
018:[THEN] then
018:[INTEGER] 2
018:[ELSE] else
019:[IF] if
019:[ID] char
019:[EQUAL] =
019:[STRING] "3"
019:[THEN] then
019:[INTEGER] 3
019:[ELSE] else
020:[IF] if
020:[ID] char
020:[EQUAL] =
020:[STRING] "4"
020:[THEN] then
020:[INTEGER] 4
020:[ELSE] else
021:[IF] if
021:[ID] char
021:[EQUAL] =
021:[STRING] "5"
021:[THEN] then
021:[INTEGER] 5
021:[ELSE] else
022:[IF] if
022:[ID] char
022:[EQUAL] =
022:[STRING] "6"
022:[THEN] then
022:[INTEGER] 6
022:[ELSE] else
023:[IF] if
023:[ID] char
023:[EQUAL] =
023:[STRING] "7"
023:[THEN] then
023:[INTEGER] 7
023:[ELSE] else
024:[IF] if
024:[ID] char
024:[EQUAL] =
024:[STRING] "8"
024:[THEN] then
024:[INTEGER] 8
024:[ELSE] else
025:[IF] if
025:[ID] char
025:[EQUAL] =
025:[STRING] "9"
025:[THEN] then
025:[INTEGER] 9
025:[ELSE] else
026:[LBRACE] {
026:[ID] abort
026:[LPAREN] (
026:[RPAREN] )
026:[SEMICOLON] ;
026:[INTEGER] 0
026:[SEMICOLON] ;
026:[RBRACE] }
027:[FI] fi
027:[FI] fi
027:[FI] fi
027:[FI] fi
027:[FI] fi
027:[FI] fi
027:[FI] fi
027:[FI] fi
027:[FI] fi
027:[FI] fi
028:[RBRACE] }
028:[SEMICOLON] ;
033:[ID] i2c
033:[LPAREN] (
033:[ID] i
033:[COLON] :
033:[TYPE] Int
033:[RPAREN] )
033:[COLON] :
033:[TYPE] String
033:[LBRACE] {
034:[IF] if
034:[ID] i
034:[EQUAL] =
034:[INTEGER] 0
034:[THEN] then
034:[STRING] "0"
034:[ELSE] else
035:[IF] if
035:[ID] i
035:[EQUAL] =
035:[INTEGER] 1
035:[THEN] then
035:[STRING] "1"
035:[ELSE] else
036:[IF] if
036:[ID] i
036:[EQUAL] =
036:[INTEGER] 2
036:[THEN] then
036:[STRING] "2"
036:[ELSE] else
037:[IF] if
037:[ID] i
037:[EQUAL] =
037:[INTEGER] 3
037:[THEN] then
037:[STRING] "3"
037:[ELSE] else
038:[IF] if
038:[ID] i
038:[EQUAL] =
038:[INTEGER] 4
038:[THEN] then
038:[STRING] "4"
038:[ELSE] else
039:[IF] if
039:[ID] i
039:[EQUAL] =
039:[INTEGER] 5
039:[THEN] then
039:[STRING] "5"
039:[ELSE] else
040:[IF] if
040:[ID] i
040:[EQUAL] =
040:[INTEGER] 6
040:[THEN] then
040:[STRING] "6"
040:[ELSE] else
041:[IF] if
041:[ID] i
041:[EQUAL] =
041:[INTEGER] 7
041:[THEN] then
041:[STRING] "7"
041:[ELSE] else
042:[IF] if
042:[ID] i
042:[EQUAL] =
042:[INTEGER] 8
042:[THEN] then
042:[STRING] "8"
042:[ELSE] else
043:[IF] if
043:[ID] i
043:[EQUAL] =
043:[INTEGER] 9
043:[THEN] then
043:[STRING] "9"
043:[ELSE] else
044:[LBRACE] {
044:[ID] abort
044:[LPAREN] (
044:[RPAREN] )
044:[SEMICOLON] ;
044:[STRING] ""
044:[SEMICOLON] ;
044:[RBRACE] }
045:[FI] fi
045:[FI] fi
045:[FI] fi
045:[FI] fi
045:[FI] fi
045:[FI] fi
045:[FI] fi
045:[FI] fi
045:[FI] fi
045:[FI] fi
046:[RBRACE] }
046:[SEMICOLON] ;
056:[ID] a2i
056:[LPAREN] (
056:[ID] s
056:[COLON] :
